"DOY","Hr","Min","Hour","Ta","Ts"
202,9,50,9.83333333333333,28.14,23.76
202,10,0,10,27.97,23.97
202,10,10,10.1666666666667,28.49,24.19
202,10,20,10.3333333333333,28.46,24.13
202,10,30,10.5,28.23,24.59
202,10,40,10.6666666666667,28.46,24.81
202,10,50,10.8333333333333,28.65,24.76
202,11,0,11,28.86,24.68
202,11,10,11.1666666666667,29.08,24.71
202,11,20,11.3333333333333,29.39,24.62
202,11,30,11.5,29.44,24.43
202,11,40,11.6666666666667,29.41,24.84
202,11,50,11.8333333333333,29.71,24.98
202,12,0,12,28.96,25.27
202,12,10,12.1666666666667,28.47,26.12
202,12,20,12.3333333333333,28.29,26.6
202,12,30,12.5,26.82,26.93
202,12,40,12.6666666666667,25.43,27.37
202,12,50,12.8333333333333,24.85,27.94
202,13,0,13,25.52,27.69
202,13,10,13.1666666666667,26.33,27.08
202,13,20,13.3333333333333,26.45,26.45
202,13,30,13.5,26.64,25.94
202,13,40,13.6666666666667,26.44,25.62
202,13,50,13.8333333333333,26.46,25.48
202,14,0,14,26.88,25.32
202,14,10,14.1666666666667,27.05,25.11
202,14,20,14.3333333333333,27.29,25.1
202,14,30,14.5,27.65,24.94
202,14,40,14.6666666666667,27.8,25.15
202,14,50,14.8333333333333,28.11,25.09
202,15,0,15,28.34,25.08
202,15,10,15.1666666666667,28.37,25.02
202,15,20,15.3333333333333,28.12,25.25
202,15,30,15.5,27.58,25.98
202,15,40,15.6666666666667,27.29,26.7
202,15,50,15.8333333333333,27.05,27.08
202,16,0,16,26.8,27.18
202,16,10,16.1666666666667,26.59,27.19
202,16,20,16.3333333333333,26.27,27.28
202,16,30,16.5,25.95,27.23
202,16,40,16.6666666666667,25.68,27.26
202,16,50,16.8333333333333,25.33,27.34
202,17,0,17,25.28,27.19
202,17,10,17.1666666666667,25.22,26.89
202,17,20,17.3333333333333,25.1,26.6
202,17,30,17.5,24.71,26.44
202,17,40,17.6666666666667,24.52,26.45
202,17,50,17.8333333333333,24.86,26.36
202,18,0,18,25.2,26.07
202,18,10,18.1666666666667,25.09,25.88
202,18,20,18.3333333333333,24.99,25.9
202,18,30,18.5,24.85,26.15
202,18,40,18.6666666666667,24.47,26.4
202,18,50,18.8333333333333,24.08,26.44
202,19,0,19,23.87,26.4
202,19,10,19.1666666666667,23.67,26.29
202,19,20,19.3333333333333,23.49,26.28
202,19,30,19.5,23.37,26.35
202,19,40,19.6666666666667,23.32,26.39
202,19,50,19.8333333333333,23.1,26.19
202,20,0,20,23.03,26.18
202,20,10,20.1666666666667,23.16,26.09
202,20,20,20.3333333333333,23.25,26.01
202,20,30,20.5,23.23,26.17
202,20,40,20.6666666666667,23.03,26.09
202,20,50,20.8333333333333,22.76,26.04
202,21,0,21,22.63,26
202,21,10,21.1666666666667,22.51,26.02
202,21,20,21.3333333333333,22.51,26.09
202,21,30,21.5,22.34,26.13
202,21,40,21.6666666666667,22.24,26.07
202,21,50,21.8333333333333,22.15,26.04
202,22,0,22,22.06,26.02
202,22,10,22.1666666666667,21.92,25.98
202,22,20,22.3333333333333,21.84,25.97
202,22,30,22.5,21.77,25.84
202,22,40,22.6666666666667,21.6,25.73
202,22,50,22.8333333333333,21.42,25.76
202,23,0,23,21.32,25.85
202,23,10,23.1666666666667,21.24,25.85
202,23,20,23.3333333333333,21.09,25.74
202,23,30,23.5,20.96,25.81
202,23,40,23.6666666666667,20.83,25.69
202,23,50,23.8333333333333,20.82,25.56
203,0,0,0,20.78,25.53
203,0,10,0.166666666666667,20.74,25.38
203,0,20,0.333333333333333,20.74,25.29
203,0,30,0.5,20.72,25.26
203,0,40,0.666666666666667,20.72,25.35
203,0,50,0.833333333333333,20.65,25.29
203,1,0,1,20.54,25.32
203,1,10,1.16666666666667,20.44,25.18
203,1,20,1.33333333333333,20.44,25.18
203,1,30,1.5,20.44,25.1
203,1,40,1.66666666666667,20.46,25.15
203,1,50,1.83333333333333,20.43,25.17
203,2,0,2,20.35,25.11
203,2,10,2.16666666666667,20.29,25.07
203,2,20,2.33333333333333,20.26,25.09
203,2,30,2.5,20.29,25.2
203,2,40,2.66666666666667,20.29,25.19
203,2,50,2.83333333333333,20.31,25.24
203,3,0,3,20.22,25.02
203,3,10,3.16666666666667,20.14,25.05
203,3,20,3.33333333333333,20.08,25.07
203,3,30,3.5,20.11,25.06
203,3,40,3.66666666666667,20.18,24.87
203,3,50,3.83333333333333,20.33,24.83
203,4,0,4,20.47,24.79
203,4,10,4.16666666666667,20.48,24.84
203,4,20,4.33333333333333,20.38,24.74
203,4,30,4.5,20.36,24.54
203,4,40,4.66666666666667,20.37,24.52
203,4,50,4.83333333333333,20.49,24.55
203,5,0,5,20.6,24.59
203,5,10,5.16666666666667,20.7,24.54
203,5,20,5.33333333333333,20.87,24.44
203,5,30,5.5,21.14,24.5
203,5,40,5.66666666666667,21.41,24.29
203,5,50,5.83333333333333,21.52,24.19
203,6,0,6,21.65,24.38
203,6,10,6.16666666666667,21.79,24.35
203,6,20,6.33333333333333,22.03,24.28
203,6,30,6.5,22.35,24.36
203,6,40,6.66666666666667,22.73,24.3
203,6,50,6.83333333333333,23,24.15
203,7,0,7,23.14,24.2
203,7,10,7.16666666666667,23.28,24.3
203,7,20,7.33333333333333,23.49,24.19
203,7,30,7.5,23.78,24.04
203,7,40,7.66666666666667,24.42,23.83
203,7,50,7.83333333333333,24.69,23.64
203,8,0,8,25.02,23.62
203,8,10,8.16666666666667,25.29,23.82
203,8,20,8.33333333333333,25.73,23.71
203,8,30,8.5,26.15,23.69
